Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
May 2020,F,baby/juvenile,Ghost 100% Het Vpi T+,-,#A183-6F,360696,$800
May 2020,F,baby/juvenile,Ghost 100% Het Vpi T+,-,#A183-7F,375981,$800
May 2020,M,baby/juvenile,Ghost 100% Het Vpi T+,-,#A183-3M,360193,$850
May 2020,F,baby/juvenile,Hypo Img 66% Het Sharp Albino 50% Het Anery,-,#A187-8F,367232,$1000
May 2020,M,baby/juvenile,Img 66% Het Sharp Albino 50% Het Anery,-,#A187-1M,360705,$1000
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-5M,367236,$1000
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-9M,347404,$850
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-14M,346929,$1000
Apr 2020,F,baby/juvenile,Img 66% Het Vpi T+,-,#A182-11F,367241,$1000
May 2020,M,baby/juvenile,Img Hypo Jungle Possible Het Sharp Snow,-,#A187-2M,367196,$1300
May 2020,F,baby/juvenile,Img Jungle 66% Het Sharp 50% Anery,-,#A187-9F,367200,$1250
May 2020,F,baby/juvenile,Img Jungle 66% Het Sharp Albino 50% Het Anery,-,#A187-11F,367216,$1250
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-10F,367238,$1850
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-12M,367240,$1500
May 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A184-4F,367242,$1250
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-3M,346930,$1800
2020,M,baby/juvenile,Img Possible Jungle 66% Het Vpi T+,-,#A182-8M,346932,$1200
May 2020,F,baby/juvenile,Img Sharp Albino Jungle,-,#A187-15F,367206,$2500
May 2020,M,baby/juvenile,Img Sharp Sunglow Jungle,-,#A187-3M,367225,$3500
May 2020,M,baby/juvenile,Img Sharp Sunglow Jungle,-,#A187-5M,367233,$4000
Jun 2020,F,baby/juvenile,Lipstick Albino Jungle,-,#A190-4F,375421,$550
Jun 2020,M,baby/juvenile,Lipstick Sunglow Jungle,-,#A190-9M,375424,$600
Jun 2020,M,baby/juvenile,Lipstick Sunglow Jungle,-,#A188-9M,389206,$600
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-17M,340005,$550
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-18M,339999,$550
May 2020,F,baby/juvenile,Vpi T+ 66% Het Anery,-,#A184-14F,360697,$550
May 2020,M,baby/juvenile,Vpi T+ 66% Het Anery,-,#A183-13M,360698,$450
Jun 2020,F,baby/juvenile,Vpi T+ Motley,-,#A189-2F,369011,$800
Jun 2020,F,baby/juvenile,Vpi T+ Motley,-,#A189-13F,375976,$700
May 2020,M,baby/juvenile,Vpi T+ Possible Jungle,-,#A184-13M,389210,$500
May 2020,F,baby/juvenile,Vpi T+ Snowglow,-,#A183-1M,360699,$3000
May 2020,M,baby/juvenile,Vpi T+ Sunglow,-,#A183-12M,375419,$600
May 2020,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A183-4F,375975,$700
May 2020,F,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A183-10F,375418,$675
May 2020,M,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A183-9M,360192,$600
May 2019,M,baby/juvenile,Img Sharp Albino Jungle 50% Het Anery,-,#A170-2M,325619,$2300
May 2019,F,baby/juvenile,Normal Het Kahl Albino Het Sterling,-,#A168-32F,352790,$750
May 2019,M,baby/juvenile,Normal Het Sterling Het Kahl Albino,-,#A168-15M,352792,$750
Apr 2019,M,baby/juvenile,Sunglow,-,#A163-8M,352787,$550
May 2019,M,baby/juvenile,Vpi T+,-,#A167-6M,352784,$450
May 2019,M,baby/juvenile,Vpi T+,-,#A169-15M,249806,$450
Jun 2018,M,subadult,Vpi T+ Motley,-,#A159-3M,352785,$800
